x,university_name,California Institute of Technology (Caltech),Harvard University,University of Oxford,Stanford University,Massachusetts Institute of Technology (MIT),Princeton University,University of Cambridge,"University of California, Berkeley",University of Chicago,Imperial College London,Yale University,"University of California, Los Angeles (UCLA)",Columbia University,ETH Zürich – Swiss Federal Institute of Technology Zürich,Johns Hopkins University,University of Pennsylvania,Duke University,University of Michigan,Cornell University,University of Toronto,University College London (UCL),Northwestern University,The University of Tokyo,Carnegie Mellon University,University of Washington,National University of Singapore (NUS),University of Texas at Austin,Georgia Institute of Technology (Georgia Tech),University of Illinois at Urbana Champaign,University of Wisconsin-Madison,University of British Columbia,London School of Economics and Political Science (LSE),"University of California, Santa Barbara",University of Melbourne,McGill University,Karolinska Institute,École Polytechnique Fédérale de Lausanne,King's College London,University of Edinburgh,New York University (NYU),"University of California, San Diego",Washington University in St Louis,The University of Hong Kong,Seoul National University,Peking University,University of Minnesota,University of North Carolina at Chapel Hill,Australian National University,Pennsylvania State University,Boston University,Tsinghua University,Brown University,"University of California, Davis",Kyoto University,Ludwig-Maximilians-Universität München,Korea Advanced Institute of Science and Technology (KAIST),Hong Kong University of Science and Technology,University of Manchester,Ohio State University,Pohang University of Science and Technology (Postech),KU Leuven,Purdue University,Georg-August-Universität Göttingen,University of Queensland Australia,École Normale Supérieure,Rice University,Leiden University,Universität Heidelberg,Delft University of Technology,École Polytechnique,University of Southern California,University of Sydney,Erasmus University Rotterdam,Universität Basel,Utrecht University,Nanyang Technological University,Wageningen University and Research Center,University of Pittsburgh,University of Bristol,Durham University,Emory University,Tufts University,University of Amsterdam,Michigan State University,Ghent University,Freie Universität Berlin,Technische Universität München,Case Western Reserve University,Vanderbilt University,University of Notre Dame,Monash University,McMaster University,"University of California, Irvine",Humboldt-Universität zu Berlin,University of Rochester,Université Pierre et Marie Curie,University of Colorado Boulder,University of Groningen,Maastricht University
university_name,1.0,0.18181818181818177,0.2222222222222222,0.44999999999999996,0.21052631578947367,0.11627906976744184,0.19999999999999996,0.5217391304347826,0.3529411764705882,0.47619047619047616,0.08695652173913049,0.2666666666666667,0.2727272727272727,0.26315789473684215,0.1228070175438597,0.16666666666666663,0.42307692307692313,0.33333333333333337,0.40909090909090906,0.2222222222222222,0.4285714285714286,0.32258064516129037,0.17391304347826086,0.3913043478260869,0.1923076923076923,0.41666666666666663,0.3157894736842105,0.3448275862068966,0.15217391304347827,0.2857142857142857,0.3548387096774194,0.33333333333333337,0.09259259259259256,0.28205128205128205,0.4347826086956522,0.23529411764705888,0.15000000000000002,0.15000000000000002,0.09523809523809523,0.4347826086956522,0.36,0.34285714285714286,0.303030303030303,0.37037037037037035,0.19999999999999996,0.23529411764705888,0.4347826086956522,0.2790697674418605,0.19999999999999996,0.1724137931034483,0.23529411764705888,0.26315789473684215,0.25,0.3548387096774194,0.25,0.2894736842105263,0.13793103448275867,0.26086956521739135,0.45833333333333337,0.19047619047619047,0.2264150943396226,0.1333333333333333,0.2941176470588235,0.2941176470588235,0.32352941176470584,0.125,0.2666666666666667,0.23529411764705888,0.40909090909090906,0.33333333333333337,0.21052631578947367,0.33333333333333337,0.5,0.3928571428571429,0.5882352941176471,0.2222222222222222,0.15625,0.29268292682926833,0.375,0.4285714285714286,0.2941176470588235,0.25,0.3125,0.4782608695652174,0.16000000000000003,0.25,0.33333333333333337,0.33333333333333337,0.16129032258064513,0.2857142857142857,0.5,0.23529411764705888,0.21052631578947367,0.375,0.33333333333333337,0.4347826086956522,0.3125,0.3666666666666667,0.4782608695652174,0.19047619047619047
California Institute of Technology (Caltech),0.18181818181818177,1.0,0.15909090909090906,0.2272727272727273,0.18181818181818177,0.5681818181818181,0.18181818181818177,0.25,0.25,0.25,0.15909090909090906,0.18181818181818177,0.13636363636363635,0.20454545454545459,0.4736842105263158,0.15909090909090906,0.2954545454545454,0.13636363636363635,0.2954545454545454,0.18181818181818177,0.2954545454545454,0.2272727272727273,0.18181818181818177,0.2727272727272727,0.2272727272727273,0.2727272727272727,0.31818181818181823,0.2954545454545454,0.6956521739130435,0.15909090909090906,0.25,0.2727272727272727,0.16666666666666663,0.15909090909090906,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.15909090909090906,0.15909090909090906,0.2727272727272727,0.2272727272727273,0.2272727272727273,0.15909090909090906,0.2727272727272727,0.15909090909090906,0.15909090909090906,0.2727272727272727,0.15909090909090906,0.15909090909090906,0.18181818181818177,0.15909090909090906,0.15909090909090906,0.15909090909090906,0.25,0.13636363636363635,0.11363636363636365,0.4655172413793104,0.19565217391304346,0.2727272727272727,0.20454545454545459,0.49056603773584906,0.09090909090909094,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.11363636363636365,0.13636363636363635,0.15909090909090906,0.2272727272727273,0.4545454545454546,0.18181818181818177,0.25,0.25,0.20454545454545459,0.20454545454545459,0.11363636363636365,0.25,0.20454545454545459,0.25,0.25,0.13636363636363635,0.15909090909090906,0.13636363636363635,0.2272727272727273,0.20454545454545459,0.13636363636363635,0.2272727272727273,0.18181818181818177,0.18181818181818177,0.15909090909090906,0.2954545454545454,0.15909090909090906,0.15909090909090906,0.25,0.18181818181818177,0.2954545454545454,0.2272727272727273,0.2954545454545454,0.2727272727272727,0.18181818181818177
Harvard University,0.2222222222222222,0.15909090909090906,1.0,0.09999999999999998,0.736842105263158,0.16279069767441856,0.55,0.17391304347826086,0.23529411764705888,0.1428571428571429,0.13043478260869568,0.6666666666666667,0.15909090909090906,0.5789473684210527,0.17543859649122806,0.5,0.1923076923076923,0.6111111111111112,0.18181818181818177,0.6666666666666667,0.23809523809523814,0.12903225806451613,0.5652173913043479,0.30434782608695654,0.5,0.20833333333333337,0.3157894736842105,0.2068965517241379,0.15217391304347827,0.16666666666666663,0.19354838709677424,0.1333333333333333,0.09259259259259256,0.17948717948717952,0.17391304347826086,0.6111111111111112,0.19999999999999996,0.125,0.04761904761904767,0.13043478260869568,0.48,0.17142857142857137,0.36363636363636365,0.2592592592592593,0.48,0.6111111111111112,0.26086956521739135,0.13953488372093026,0.43333333333333335,0.4482758620689655,0.6111111111111112,0.5789473684210527,0.6666666666666667,0.19354838709677424,0.6111111111111112,0.2894736842105263,0.1724137931034483,0.26086956521739135,0.20833333333333337,0.5714285714285714,0.2075471698113207,0.16666666666666663,0.6666666666666667,0.2941176470588235,0.17647058823529416,0.125,0.6111111111111112,0.6111111111111112,0.2272727272727273,0.30000000000000004,0.052631578947368474,0.18181818181818177,0.15000000000000002,0.3928571428571429,0.16666666666666663,0.6666666666666667,0.40625,0.29268292682926833,0.16666666666666663,0.19047619047619047,0.7222222222222222,0.6666666666666667,0.6111111111111112,0.17391304347826086,0.52,0.6111111111111112,0.375,0.33333333333333337,0.4516129032258065,0.6190476190476191,0.16666666666666663,0.6666666666666667,0.631578947368421,0.21875,0.3666666666666667,0.17391304347826086,0.15625,0.1333333333333333,0.17391304347826086,0.6190476190476191
University of Oxford,0.44999999999999996,0.2272727272727273,0.09999999999999998,1.0,0.050000000000000044,0.2093023255813954,0.050000000000000044,0.6956521739130435,0.5,0.6666666666666667,0.21739130434782605,0.25,0.38636363636363635,0.050000000000000044,0.21052631578947367,0.125,0.5384615384615384,0.25,0.6363636363636364,0.09999999999999998,0.7142857142857143,0.4516129032258065,0.08695652173913049,0.5652173913043479,0.15384615384615385,0.5833333333333333,0.42105263157894735,0.5172413793103448,0.21739130434782605,0.38095238095238093,0.5161290322580645,0.5,0.12962962962962965,0.4358974358974359,0.6956521739130435,0.15000000000000002,0.050000000000000044,0.125,0.1428571428571429,0.6521739130434783,0.28,0.48571428571428577,0.3939393939393939,0.5555555555555556,0.12,0.15000000000000002,0.6521739130434783,0.34883720930232553,0.16666666666666663,0.13793103448275867,0.15000000000000002,0.050000000000000044,0.19999999999999996,0.5483870967741935,0.19999999999999996,0.21052631578947367,0.1724137931034483,0.32608695652173914,0.5833333333333333,0.1428571428571429,0.28301886792452835,0.050000000000000044,0.15000000000000002,0.2941176470588235,0.4411764705882353,0.16666666666666663,0.25,0.15000000000000002,0.5,0.5,0.09999999999999998,0.5151515151515151,0.7,0.3928571428571429,0.5,0.15000000000000002,0.125,0.31707317073170727,0.625,0.6666666666666667,0.15000000000000002,0.19999999999999996,0.19999999999999996,0.6956521739130435,0.12,0.19999999999999996,0.33333333333333337,0.2666666666666667,0.12903225806451613,0.19047619047619047,0.5833333333333333,0.15000000000000002,0.050000000000000044,0.53125,0.3666666666666667,0.6086956521739131,0.375,0.5666666666666667,0.6086956521739131,0.09523809523809523
Stanford University,0.21052631578947367,0.18181818181818177,0.736842105263158,0.050000000000000044,1.0,0.13953488372093026,0.6,0.08695652173913049,0.23529411764705888,0.04761904761904767,0.08695652173913049,0.631578947368421,0.18181818181818177,0.5789473684210527,0.1578947368421053,0.5416666666666667,0.11538461538461542,0.5789473684210527,0.09090909090909094,0.631578947368421,0.1428571428571429,0.12903225806451613,0.5652173913043479,0.26086956521739135,0.46153846153846156,0.125,0.3157894736842105,0.13793103448275867,0.15217391304347827,0.16666666666666663,0.16129032258064513,0.09999999999999998,0.12962962962962965,0.20512820512820518,0.08695652173913049,0.5789473684210527,0.15000000000000002,0.15000000000000002,0.04761904761904767,0.04347826086956519,0.52,0.17142857142857137,0.36363636363636365,0.2222222222222222,0.56,0.5789473684210527,0.17391304347826086,0.18604651162790697,0.5,0.4482758620689655,0.631578947368421,0.631578947368421,0.631578947368421,0.12903225806451613,0.631578947368421,0.26315789473684215,0.13793103448275867,0.26086956521739135,0.125,0.5238095238095238,0.18867924528301883,0.1578947368421053,0.5789473684210527,0.2647058823529411,0.11764705882352944,0.125,0.5789473684210527,0.5789473684210527,0.13636363636363635,0.30000000000000004,0.052631578947368474,0.21212121212121215,0.050000000000000044,0.3928571428571429,0.10526315789473684,0.631578947368421,0.4375,0.29268292682926833,0.08333333333333337,0.09523809523809523,0.5789473684210527,0.6842105263157895,0.631578947368421,0.08695652173913049,0.52,0.631578947368421,0.29166666666666663,0.3666666666666667,0.4516129032258065,0.6190476190476191,0.08333333333333337,0.631578947368421,0.631578947368421,0.1875,0.33333333333333337,0.08695652173913049,0.125,0.1333333333333333,0.08695652173913049,0.5714285714285714
Massachusetts Institute of Technology (MIT),0.11627906976744184,0.5681818181818181,0.16279069767441856,0.2093023255813954,0.13953488372093026,1.0,0.18604651162790697,0.2093023255813954,0.13953488372093026,0.2325581395348837,0.11627906976744184,0.16279069767441856,0.13636363636363635,0.13953488372093026,0.5087719298245614,0.16279069767441856,0.2558139534883721,0.16279069767441856,0.2558139534883721,0.13953488372093026,0.2558139534883721,0.2325581395348837,0.16279069767441856,0.2558139534883721,0.13953488372093026,0.2325581395348837,0.2790697674418605,0.2325581395348837,0.4782608695652174,0.13953488372093026,0.2093023255813954,0.18604651162790697,0.20370370370370372,0.09302325581395354,0.2325581395348837,0.16279069767441856,0.2790697674418605,0.11627906976744184,0.13953488372093026,0.2325581395348837,0.18604651162790697,0.11627906976744184,0.2325581395348837,0.2558139534883721,0.16279069767441856,0.11627906976744184,0.2325581395348837,0.046511627906976716,0.16279069767441856,0.16279069767441856,0.16279069767441856,0.18604651162790697,0.11627906976744184,0.2093023255813954,0.13953488372093026,0.046511627906976716,0.5172413793103448,0.23913043478260865,0.2093023255813954,0.18604651162790697,0.39622641509433965,0.09302325581395354,0.16279069767441856,0.13953488372093026,0.16279069767441856,0.11627906976744184,0.16279069767441856,0.13953488372093026,0.18604651162790697,0.39534883720930236,0.18604651162790697,0.16279069767441856,0.2325581395348837,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.16279069767441856,0.13953488372093026,0.2093023255813954,0.2325581395348837,0.13953488372093026,0.11627906976744184,0.18604651162790697,0.18604651162790697,0.2325581395348837,0.18604651162790697,0.16279069767441856,0.16279069767441856,0.2093023255813954,0.16279069767441856,0.2325581395348837,0.18604651162790697,0.2093023255813954,0.18604651162790697,0.18604651162790697,0.2325581395348837,0.18604651162790697,0.2093023255813954,0.2325581395348837,0.2325581395348837
Princeton University,0.19999999999999996,0.18181818181818177,0.55,0.050000000000000044,0.6,0.18604651162790697,1.0,0.17391304347826086,0.2647058823529411,0.09523809523809523,0.13043478260869568,0.6,0.18181818181818177,0.55,0.1578947368421053,0.5833333333333333,0.1923076923076923,0.6,0.13636363636363635,0.65,0.19047619047619047,0.16129032258064513,0.6521739130434783,0.26086956521739135,0.6153846153846154,0.16666666666666663,0.26315789473684215,0.1724137931034483,0.21739130434782605,0.19047619047619047,0.22580645161290325,0.16666666666666663,0.14814814814814814,0.20512820512820518,0.13043478260869568,0.6,0.15000000000000002,0.15000000000000002,0.09523809523809523,0.17391304347826086,0.4,0.19999999999999996,0.4545454545454546,0.2222222222222222,0.56,0.65,0.26086956521739135,0.18604651162790697,0.5666666666666667,0.48275862068965514,0.7,0.65,0.65,0.22580645161290325,0.65,0.2894736842105263,0.18965517241379315,0.28260869565217395,0.25,0.6190476190476191,0.18867924528301883,0.15000000000000002,0.65,0.2941176470588235,0.17647058823529416,0.08333333333333337,0.7,0.7,0.2272727272727273,0.2666666666666667,0.050000000000000044,0.21212121212121215,0.09999999999999998,0.3571428571428571,0.15000000000000002,0.65,0.4375,0.31707317073170727,0.16666666666666663,0.1428571428571429,0.55,0.55,0.6,0.21739130434782605,0.56,0.65,0.33333333333333337,0.3666666666666667,0.4516129032258065,0.5714285714285714,0.20833333333333337,0.6,0.6,0.25,0.2666666666666667,0.21739130434782605,0.15625,0.1333333333333333,0.13043478260869568,0.5714285714285714
University of Cambridge,0.5217391304347826,0.25,0.17391304347826086,0.6956521739130435,0.08695652173913049,0.2093023255813954,0.17391304347826086,1.0,0.5588235294117647,0.6956521739130435,0.17391304347826086,0.21739130434782605,0.4545454545454546,0.13043478260869568,0.19298245614035092,0.08333333333333337,0.5384615384615384,0.21739130434782605,0.6521739130434783,0.13043478260869568,0.6521739130434783,0.4193548387096774,0.08695652173913049,0.4347826086956522,0.15384615384615385,0.6666666666666667,0.42105263157894735,0.5172413793103448,0.23913043478260865,0.4285714285714286,0.5161290322580645,0.5,0.14814814814814814,0.46153846153846156,0.6956521739130435,0.13043478260869568,0.13043478260869568,0.15000000000000002,0.13043478260869568,0.6521739130434783,0.16000000000000003,0.5428571428571429,0.33333333333333337,0.5185185185185186,0.12,0.17391304347826086,0.6086956521739131,0.41860465116279066,0.16666666666666663,0.13793103448275867,0.17391304347826086,0.13043478260869568,0.17391304347826086,0.5806451612903225,0.17391304347826086,0.1578947368421053,0.18965517241379315,0.34782608695652173,0.6666666666666667,0.17391304347826086,0.3207547169811321,0.04347826086956519,0.13043478260869568,0.2941176470588235,0.47058823529411764,0.20833333333333337,0.21739130434782605,0.17391304347826086,0.4782608695652174,0.5,0.17391304347826086,0.48484848484848486,0.6521739130434783,0.3571428571428571,0.4782608695652174,0.21739130434782605,0.125,0.3414634146341463,0.625,0.6521739130434783,0.13043478260869568,0.17391304347826086,0.17391304347826086,0.6521739130434783,0.12,0.17391304347826086,0.25,0.19999999999999996,0.12903225806451613,0.21739130434782605,0.625,0.13043478260869568,0.13043478260869568,0.59375,0.30000000000000004,0.6086956521739131,0.4375,0.6,0.6956521739130435,0.13043478260869568
"University of California, Berkeley",0.3529411764705882,0.25,0.23529411764705888,0.5,0.23529411764705888,0.13953488372093026,0.2647058823529411,0.5588235294117647,1.0,0.5,0.20588235294117652,0.20588235294117652,0.6590909090909092,0.20588235294117652,0.17543859649122806,0.20588235294117652,0.4411764705882353,0.20588235294117652,0.47058823529411764,0.20588235294117652,0.47058823529411764,0.4117647058823529,0.20588235294117652,0.3529411764705882,0.2647058823529411,0.47058823529411764,0.3421052631578947,0.47058823529411764,0.26086956521739135,0.45238095238095233,0.47058823529411764,0.5,0.2222222222222222,0.6923076923076923,0.5294117647058824,0.20588235294117652,0.1470588235294118,0.125,0.17647058823529416,0.5,0.17647058823529416,0.7714285714285715,0.11764705882352944,0.38235294117647056,0.2647058823529411,0.23529411764705888,0.5,0.4651162790697675,0.23529411764705888,0.17647058823529416,0.2647058823529411,0.23529411764705888,0.20588235294117652,0.7647058823529411,0.23529411764705888,0.1578947368421053,0.24137931034482762,0.4130434782608695,0.5294117647058824,0.23529411764705888,0.3584905660377359,0.08823529411764708,0.20588235294117652,0.11764705882352944,0.47058823529411764,0.17647058823529416,0.23529411764705888,0.23529411764705888,0.38235294117647056,0.2941176470588235,0.1470588235294118,0.5,0.5,0.17647058823529416,0.38235294117647056,0.2647058823529411,0.1470588235294118,0.2682926829268293,0.47058823529411764,0.5,0.20588235294117652,0.23529411764705888,0.20588235294117652,0.47058823529411764,0.23529411764705888,0.23529411764705888,0.2941176470588235,0.17647058823529416,0.1470588235294118,0.2647058823529411,0.5,0.20588235294117652,0.23529411764705888,0.8235294117647058,0.20588235294117652,0.5,0.3529411764705882,0.6176470588235294,0.5294117647058824,0.23529411764705888
University of Chicago,0.47619047619047616,0.25,0.1428571428571429,0.6666666666666667,0.04761904761904767,0.2325581395348837,0.09523809523809523,0.6956521739130435,0.5,1.0,0.17391304347826086,0.23809523809523814,0.40909090909090906,0.09523809523809523,0.21052631578947367,0.125,0.5769230769230769,0.23809523809523814,0.7272727272727273,0.09523809523809523,0.7142857142857143,0.4193548387096774,0.08695652173913049,0.5652173913043479,0.15384615384615385,0.7083333333333333,0.42105263157894735,0.5172413793103448,0.23913043478260865,0.4285714285714286,0.5483870967741935,0.5333333333333333,0.16666666666666663,0.4358974358974359,0.6086956521739131,0.1428571428571429,0.09523809523809523,0.15000000000000002,0.09523809523809523,0.6956521739130435,0.24,0.5428571428571429,0.36363636363636365,0.5555555555555556,0.12,0.1428571428571429,0.6521739130434783,0.39534883720930236,0.16666666666666663,0.13793103448275867,0.1428571428571429,0.09523809523809523,0.19047619047619047,0.5483870967741935,0.19047619047619047,0.23684210526315785,0.22413793103448276,0.3913043478260869,0.625,0.1428571428571429,0.3584905660377359,0.04761904761904767,0.1428571428571429,0.2941176470588235,0.4411764705882353,0.16666666666666663,0.23809523809523814,0.1428571428571429,0.4545454545454546,0.5333333333333333,0.1428571428571429,0.5151515151515151,0.6666666666666667,0.3928571428571429,0.47619047619047616,0.19047619047619047,0.125,0.31707317073170727,0.625,0.7142857142857143,0.1428571428571429,0.19047619047619047,0.19047619047619047,0.6086956521739131,0.12,0.19047619047619047,0.29166666666666663,0.30000000000000004,0.12903225806451613,0.19047619047619047,0.625,0.1428571428571429,0.09523809523809523,0.53125,0.33333333333333337,0.6521739130434783,0.375,0.5666666666666667,0.6521739130434783,0.09523809523809523
